Country,Country Code,Daily Median Income
China,156,12.008236
United States of America,840,62.40085
India,356,3.9418383
Japan,392,41.49211
Germany,276,59.369686
Russia,643,17.48153
Indonesia,360,5.7831755
Brazil,076,12.991237
France,250,49.779552
United Kingdom,826,46.870113
Mexico,484,11.628478
Italy,380,43.379395
Turkey,792,19.567127
South Korea,410,50.183186
Spain,724,41.36567
Canada,124,56.303295
Iran,364,10.912499
Australia,036,53.050495
Thailand,764,12.927706
Egypt,818,5.422779
Taiwan,158,42.18017
Poland,616,33.879444
Nigeria,566,2.9532702
Pakistan,586,4.0731707
Malaysia,458,25.865078
Netherlands,528,59.726303
Argentina,032,17.290493
Philippines,608,4.9763155
South Africa,710,4.7534223
Colombia,170,9.6840725
United Arab Emirates,784,74.25184
Bangladesh,050,4.7816916
Iraq,368,9.614323
Vietnam,704,11.452532
Algeria,012,8.043594
Belgium,056,54.49564
Switzerland,756,65.79692
Sweden,752,51.530468
Romania,642,23.197407
Kazakhstan,398,10.810688
Chile,152,19.984573
Austria,040,58.25852
Peru,604,9.394887
Venezuela,862,8.490453
Norway,578,65.29984
Czech Republic,203,36.751797
Ukraine,804,12.599212
Ireland,372,50.1327
Qatar,634,74.374855
Myanmar,104,5.47138
Israel,376,32.92121
Portugal,620,29.239334
Greece,300,26.430964
Morocco,504,7.7121487
Hungary,348,28.789747
Denmark,208,57.08956
Sri Lanka,144,6.91304
Finland,246,51.83912
Uzbekistan,860,12.050619
Ethiopia,231,3.0618846
Angola,024,3.4205022
Ecuador,218,10.501099
Slovakia,703,23.478302
Belarus,112,17.238052
Sudan,729,3.6616235
Dominican Republic,214,11.336495
Azerbaijan,031,8.059334
Kenya,404,2.6132443
Tanzania,834,2.3307555
Bulgaria,100,23.402508
Guatemala,320,6.169567
Tunisia,788,11.934058
Ghana,288,3.7379272
Serbia,688,16.992344
Panama,591,19.735992
Turkmenistan,795,2.3988008
Croatia,191,28.754229
C̫te d'Ivoire,384,4.336595
Lithuania,440,34.91118
Cameroon,120,3.9085712
Uganda,800,2.4753115
Jordan,400,13.392007
Paraguay,600,12.639644
Lebanon,422,26.116678
Costa Rica,188,17.262701
Bolivia,068,14.911999
Nepal,524,7.4121175
Uruguay,858,20.99745
Yemen,887,3.4357183
Slovenia,705,43.440727
Zambia,894,1.4850891
Congo DRC,180,1.1797127
Luxembourg,442,79.70014
Senegal,686,4.4646606
Latvia,428,30.76944
El Salvador,222,10.355628
Syria,760,2.959133
Laos,418,4.7573843
Honduras,340,6.9277115
Bosnia and Herzegovina,070,17.60119
Trinidad and Tobago,780,10.1245775
Estonia,233,40.0546
Mali,466,3.3488104
Georgia,268,7.081152
Madagascar,450,1.1187238
Mongolia,496,10.326545
Botswana,072,4.842955
Mozambique,508,1.2939788
Gabon,266,9.673192
Nicaragua,558,8.074234
Albania,008,12.064707
Burkina Faso,854,3.1207023
Zimbabwe,716,2.6548173
Cyprus,196,45.669167
North Macedonia,807,13.475552
Papua New Guinea,598,2.6180224
Congo,178,2.9803798
Chad,148,3.106669
Tajikistan,762,5.334834
Armenia,051,6.7156725
Mauritius,480,12.731154
Guinea,324,3.8037891
Namibia,516,5.6841736
Jamaica,388,15.188954
Benin,204,4.0014644
Rwanda,646,2.0738049
Moldova,498,10.60901
Kyrgyzstan,417,6.0340743
Malawi,454,1.5339028
Niger,562,2.1318378
Haiti,332,1.7051569
Malta,470,48.106636
Iceland,352,56.521667
Mauritania,478,5.2766995
Togo,768,3.2011387
Eswatini,748,2.9537303
Sierra Leone,694,2.9593496
Montenegro,499,16.274788
Suriname,740,13.008748
Fiji,242,6.643387
Burundi,108,1.795875
Timor-Leste,626,2.8969195
Bhutan,064,13.86247
Maldives,462,15.8306
Lesotho,426,3.2375739
Guyana,328,6.042705
Liberia,430,3.0950387
Gambia,270,3.8196523
Djibouti,262,4.0851326
Central African Republic,140,1.5665926
Belize,084,4.6116567
Guinea-Bissau,624,3.1120498
Seychelles,690,19.497965
Saint Lucia,662,13.024724
Grenada,308,14.055036
Solomon Islands,090,3.103404
Comoros,174,4.389313
Samoa,882,7.5771036
Vanuatu,548,4.6742573
Sao Tome and Principe,678,3.998577
Tonga,776,9.959987
Micronesia,583,4.2220106
Kiribati,296,5.325838
Marshall Islands,584,9.188247
Nauru,520,5.6519923
Tuvalu,798,6.2684546
